FAMÍLIA PROFESSIONAL	CODI

ACTIVITATS FÍSIQUES I ESPORTIVES	AFD
ADMINISTRACIÓ I GESTIÓ	ADG
AGRÀRIA	AGA
ARTS GRÀFIQUES	ARG
COMERÇ I MÀRQUETING	COM
EDIFICACIÓ I OBRA CIVIL	EOC
ELECTRICITAT I ELECTRÒNICA	ELE
FABRICACIÓ MECÀNICA	FME
FUSTA, MOBLE I SURO	FMS
HOTELERIA I  TURISME	HOT
IMATGE I  SO	CIS
IMATGE PERSONAL	IMP
INFORMÀTICA I COMUNICACIONS	IFC
INSTAL·LACIÓ I MANTENIMENT	IMA
INDÚSTRIES ALIMENTÀRIES	INA
MARITIMOPESQUERA	MAP
SANITAT	SAN
SERVEIS SOCIOCULTURALS I A LA COMUNITAT	SSC
TRANSPORT I MANTENIMENT DE VEHICLES	TMV
